id,"typ",parent_id,"handle","name","site_url","thumbnail",carousel_include,"carousel_description","carousel_image_file_name","carousel_image_content_type",carousel_image_file_size,"carousel_image_updated_at","created_at","updated_at"
1,"node",0,NULL,"Journals",NULL,NULL,0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:30","2011-06-23 17:57:30"
2,"node",0,NULL,"Peer-Reviewed Projects",NULL,NULL,0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:30","2011-06-23 17:57:30"
3,"archive",2,"rossetti","The Rossetti Archive","http://www.rossettiarchive.org","http://www.rossettiarchive.org/css/whitedgrmotto.gif",1,"facilitates the scholarly study of Dante Gabriel Rossetti, the painter, designer, writer, and translator who was, according to both John Ruskin and Walter Pater, the most important and original artistic force in the second half of the nineteenth century in Great Britain.","rossettiArchive.jpg","image/jpeg",29345,"2011-06-23 17:57:30","2011-06-23 17:57:32","2011-06-23 17:57:32"
4,"archive",1,"victbib","Victorian Studies Bibliography","http://www.letrs.indiana.edu/web/v/victbib","",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:33","2011-06-23 17:57:33"
5,"archive",1,"ron","Romanticism on the Net","http://www.ron.umontreal.ca/","http://www.erudit.org/images/ronnines.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:33","2011-06-23 17:57:33"
6,"node",2,NULL,"Rotunda Imprint, University of Virginia",NULL,NULL,0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:33","2011-06-23 17:57:33"
7,"archive",6,"rotunda_arnold","Letters of Matthew Arnold","http://rotunda.upress.virginia.edu/Arnold/","http://rotunda.upress.virginia.edu/images/Rotunda-NINES.png",1,"Including nearly 4,000 letters, The Letters of Matthew Arnold represents the most comprehensive and assiduously annotated collection of his correspondence available. Published by the Rotunda Imprint of University of Virginia Press.","arnoldLetters.jpg","image/jpeg",17879,"2011-06-23 17:57:33","2011-06-23 17:57:34","2011-06-23 17:57:34"
8,"archive",6,"rotunda_c-rossetti","Letters of Christina Rossetti","http://rotunda.upress.virginia.edu/crossetti","http://rotunda.upress.virginia.edu/images/Rotunda-NINES.png",1,"Christina Rossetti has come to be considered one of the major poets of the Victorian era.This digital edition incorporates the complete text of the 4-volume print edition, The Letters of Christina Rossetti. Published by the Rotunda Imprint of University of Virginia Press.","rossettiLetters.jpg","image/jpeg",19320,"2011-06-23 17:57:34","2011-06-23 17:57:35","2011-06-23 17:57:35"
9,"archive",2,"poetess","The Poetess Archive","http://idhmc.tamu.edu/poetess/","http://idhmc.tamu.edu/poetess/PA-thumbnail-2.gif",1,"The Poetess Archive Database now contains a bibliography of over 4,000 entries for works by and about writers working in and against the “poetess tradition,” the extraordinarily popular, but much criticized, flowery poetry written in Britain and America between 1750 and 1900.","poetessArchive.jpg","image/jpeg",24160,"2011-06-23 17:57:35","2011-06-23 17:57:35","2013-06-28 20:52:59"
10,"archive",2,"swinburne","The Swinburne Project","http://swinburnearchive.indiana.edu/swinburne/www/swinburne/","http://swinburnearchive.indiana.edu/swinburne/images/swinburne/home_portrait.png",1,"is a digital collection, or virtual archive, devoted to the life and work of Victorian poet Algernon Charles Swinburne. When complete the project will provide students and scholars with access to all available original works by Swinburne and selected contextual materials.","new_swinburne.carousel.jpg","image/jpeg",44790,"2012-03-21 14:46:36","2011-06-23 17:57:36","2012-03-21 14:48:05"
11,"archive",2,"bierce","The Ambrose Bierce Project","http://www.ambrosebierce.org/main.html","http://www.personal.psu.edu/faculty/c/a/caw43/bierce/bierceicon.jpg",1,"is an online forum and resource for the study of Ambrose Gwinnett Bierce (1842-1914?), the American soldier, topographer, journalist, and writer. The ABP strives to bring together Bierce scholars and students from around the globe.","bierce.jpg","image/jpeg",10941,"2011-06-23 17:57:36","2011-06-23 17:57:37","2011-06-23 17:57:37"
12,"archive",2,"bwrp","British Women Romantic Poets","http://digital.lib.ucdavis.edu/projects/bwrp/","http://digital.lib.ucdavis.edu/images/smlpilk2.jpg",1,"The British Women Romantic Poet's Project is producing an online scholarly archive consisting of E-text editions of poetry by British and Irish women written (not necessarily published) between 1789 and 1832.","bwrp.jpg","image/jpeg",16076,"2011-06-23 17:57:37","2011-06-23 17:57:37","2011-06-23 17:57:37"
13,"archive",2,"chesnutt","Charles Chesnutt Archive","http://www.chesnuttarchive.org","",1,"The goal of The Charles Chesnutt Archive is to make works by and about Chesnutt readily and freely accessible to scholars, students, and general readers. It will continue to grow and change with the goal of providing a comprehensive digital collection of Chesnutt materials.","chesnuttArchive.jpg","image/jpeg",15005,"2011-06-23 17:57:38","2011-06-23 17:57:39","2011-06-23 17:57:39"
14,"archive",2,"cbw","Collective Biographies of Women","http://etext.lib.virginia.edu/WomensBios/","",1,"is an exhaustive annotated bibliography of the more than 930 books published in English (in Britain, the United States, and elsewhere in the Anglophone world) between 1830 and 1940 that collect three or more women's biographies.","cbw.jpg","image/jpeg",23573,"2011-06-23 17:57:39","2011-06-23 17:57:39","2011-06-23 17:57:39"
15,"archive",2,"dickinson","Dickinson Virtual Reference Shelf","http://www.emilydickinson.org/","",1,"The Dickinson Electronic Archives (DEA) is a website devoted to the study of Emily Dickinson, her writing practices, writings directly influencing her work, and critical and creative writings generated by her work.","dickinsonVirtual.jpg","image/jpeg",15021,"2011-06-23 17:57:41","2011-06-23 17:57:41","2011-06-23 17:57:41"
16,"archive",2,"blake","The William Blake Archive","http://www.blakearchive.org","",1,"A free site on the World Wide Web since 1996, the Blake Archive was conceived as an international public resource that would provide unified access to major works of visual and literary art that are highly disparate, widely dispersed, and often severely restricted as a result of their value, rarity, and extreme fragility.","blakeArchive.jpg","image/jpeg",16553,"2011-06-23 17:57:42","2011-06-23 17:57:42","2011-06-23 17:57:42"
17,"archive",2,"cather","The Willa Cather Archive","http://cather.unl.edu/","http://cather.unl.edu/images/ninesthumbnails/mainthumb.jpg",1," is an ambitious endeavor to create a rich, useful, and widely-accessible site for the study of Willa Cather's life and writings. The project originated in 1997, and over the years has digitized and published hundreds of thousands of words of Cather-authored texts and Cather scholarship.","newCather.jpg","image/jpeg",24532,"2011-06-23 17:57:42","2011-06-23 17:57:43","2011-06-23 17:57:43"
18,"node",2,NULL,"Whitman Archive",NULL,NULL,0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:43","2011-06-23 17:57:43"
19,"archive",18,"whitbib","Whitman Bibliography","http://www.whitmanarchive.org/bibliography/","http://www.whitmanarchive.org/shared/WWA_logo.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:44","2011-06-23 17:57:44"
20,"archive",18,"whitman","The Walt Whitman Archive","http://www.whitmanarchive.org/","http://www.whitmanarchive.org/shared/WWA_logo.gif",1,"is an electronic research and teaching tool that sets out to make Whitman's vast work, for the first time, easily and conveniently accessible to scholars, students, and general readers.","WhitmanArchive.jpg","image/jpeg",21625,"2011-06-23 17:57:45","2011-06-23 17:57:45","2011-06-23 17:57:45"
21,"node",2,NULL,"Romantic Circles",NULL,NULL,0,"","rc.jpg","image/jpeg",53233,"2012-01-13 15:46:42","2011-06-23 17:57:46","2012-01-13 15:46:43"
22,"node",1,NULL,"Project MUSE",NULL,NULL,0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:46","2011-06-23 17:57:46"
23,"archive",22,"muse-al","Project Muse: American Literature","http://muse.jhu.edu/journals/american_literature/","http://muse.jhu.edu/images/journals/coverImages/alcoversmall.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:46","2011-06-23 17:57:46"
24,"archive",22,"muse-alh","Project MUSE: American Literary History","http://muse.jhu.edu/journals/american_literary_history/","http://muse.jhu.edu/images/journals/coverImages/alhcoversmall.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:46","2011-06-23 17:57:46"
25,"archive",22,"muse-nlh","Project MUSE: New Literary History","http://muse.jhu.edu/journals/new_literary_history/","http://muse.jhu.edu/images/journals/coverImages/nlhcoversmall.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:46","2011-06-23 17:57:46"
26,"archive",22,"muse-elh","Project MUSE: ELH","http://muse.jhu.edu/journals/elh/","http://muse.jhu.edu/images/journals/coverImages/elhcoversmall.gif",0,"",NULL,NULL,NULL,NULL,"2011-06-23 17:57:46","2011-06-23 17:57:46"
